,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
6049,17.9,35.2,0.0,12.0,12.3,48.0,20.0,13.0,2.0,5.0,26.6,33.4,0,0
6050,18.4,28.9,0.0,14.8,13.0,37.0,30.0,8.0,1.0,1.0,20.3,27.0,0,0
6052,19.4,37.6,0.0,10.8,10.6,46.0,42.0,22.0,1.0,6.0,28.7,34.9,0,0
6053,21.9,38.4,0.0,11.4,12.2,31.0,37.0,22.0,1.0,5.0,29.1,35.6,0,0
6054,24.2,41.0,0.0,11.2,8.4,35.0,19.0,15.0,1.0,6.0,33.6,37.6,0,0
6055,27.1,36.1,0.0,13.0,0.0,43.0,26.0,19.0,8.0,8.0,30.7,34.3,0,0
6056,23.3,34.0,0.0,9.8,12.6,41.0,33.0,15.0,3.0,1.0,25.0,31.5,0,0
6057,16.1,34.2,0.0,14.6,13.2,37.0,25.0,9.0,1.0,1.0,20.7,32.8,0,0
6058,19.0,35.5,0.0,12.0,12.3,48.0,46.0,28.0,1.0,5.0,23.4,33.3,0,0
6059,19.7,35.5,0.0,11.0,12.7,41.0,61.0,14.0,1.0,5.0,24.0,33.6,0,0
6060,20.9,37.8,0.0,12.8,13.2,30.0,27.0,9.0,0.0,1.0,29.8,36.4,0,0
6061,23.9,39.1,0.0,13.8,12.1,39.0,40.0,15.0,0.0,2.0,29.1,37.0,0,0
6062,24.9,41.2,0.0,14.8,13.0,43.0,25.0,15.0,1.0,3.0,31.5,38.1,0,0
6063,25.2,40.5,0.0,16.4,10.3,44.0,24.0,15.0,4.0,6.0,31.4,37.8,0,0
6064,21.6,34.2,0.0,17.4,13.1,44.0,19.0,8.0,0.0,0.0,25.0,32.2,0,0
6065,18.4,31.8,0.0,16.0,12.9,33.0,25.0,5.0,0.0,1.0,19.9,30.3,0,0
6066,17.9,34.2,0.0,12.0,11.3,61.0,46.0,19.0,1.0,2.0,21.6,32.2,0,0
6067,21.4,37.5,0.0,14.8,6.9,43.0,34.0,29.0,7.0,6.0,26.2,34.1,0,1
6068,23.3,39.4,4.8,12.0,10.9,59.0,54.0,14.0,1.0,7.0,27.0,37.0,1,0
6069,25.4,33.5,0.0,13.6,3.7,46.0,46.0,52.0,4.0,7.0,28.9,29.7,0,0
6070,21.8,30.7,0.0,8.0,5.9,56.0,71.0,63.0,7.0,7.0,24.4,27.3,0,1
6071,20.3,36.0,18.0,8.2,10.5,94.0,89.0,50.0,7.0,4.0,24.7,33.4,1,1
6072,22.1,34.7,8.6,8.6,12.4,50.0,46.0,23.0,2.0,6.0,28.1,33.2,1,0
6073,19.7,37.3,0.0,14.2,13.4,28.0,19.0,10.0,1.0,1.0,26.4,35.0,0,0
6074,23.8,39.9,0.0,12.6,13.2,31.0,50.0,16.0,0.0,1.0,28.7,38.7,0,0
6075,27.0,38.7,0.0,14.2,13.0,46.0,45.0,22.0,1.0,3.0,29.0,36.4,0,0
6076,26.2,38.5,0.0,14.6,13.3,39.0,37.0,17.0,0.0,2.0,29.6,37.0,0,0
6077,25.0,39.5,0.0,14.6,13.6,52.0,31.0,14.0,0.0,1.0,29.9,38.4,0,0
6078,25.1,39.3,0.0,15.8,13.2,44.0,34.0,18.0,0.0,1.0,29.9,37.5,0,0
6079,25.2,38.5,0.0,16.2,13.1,44.0,35.0,18.0,1.0,2.0,29.0,36.9,0,0
6080,24.8,40.8,0.0,13.4,11.3,30.0,34.0,16.0,5.0,3.0,30.1,38.9,0,0
6081,27.6,40.3,0.0,14.4,10.9,57.0,32.0,20.0,5.0,2.0,32.0,38.5,0,0
6082,23.6,40.4,0.6,11.8,12.2,54.0,42.0,17.0,1.0,2.0,29.9,38.7,0,1
6083,24.1,41.4,1.6,12.6,12.3,39.0,50.0,21.0,0.0,4.0,28.2,38.8,1,0
6084,27.2,43.4,0.0,14.2,12.6,37.0,33.0,14.0,1.0,3.0,32.6,43.0,0,0
6085,29.1,43.5,0.0,13.0,12.1,28.0,25.0,16.0,1.0,2.0,35.6,41.4,0,0
6086,28.9,41.4,0.0,15.6,12.7,41.0,22.0,14.0,1.0,0.0,32.1,40.0,0,0
6087,25.1,42.0,0.0,17.4,13.0,39.0,23.0,9.0,0.0,1.0,31.6,40.4,0,0
6088,25.4,36.6,0.0,15.2,10.3,43.0,24.0,12.0,5.0,5.0,26.1,35.4,0,0
6089,19.3,28.1,0.0,16.0,7.4,46.0,26.0,14.0,7.0,4.0,19.6,24.9,0,0
6090,14.1,25.9,0.0,11.6,12.3,44.0,38.0,19.0,0.0,0.0,14.8,24.1,0,0
6091,14.5,30.1,0.0,9.6,10.0,37.0,44.0,25.0,6.0,6.0,17.4,28.4,0,0
6092,16.8,23.3,0.6,8.0,2.3,63.0,66.0,53.0,7.0,7.0,18.5,22.4,0,1
6093,16.1,19.1,26.0,6.6,0.0,54.0,81.0,93.0,7.0,7.0,17.1,17.0,1,1
6094,16.0,24.2,7.0,0.6,6.6,43.0,66.0,56.0,5.0,6.0,18.9,22.7,1,0
6095,17.4,19.7,0.0,6.0,0.0,48.0,65.0,97.0,7.0,7.0,19.2,17.1,0,1
6096,15.9,20.8,32.6,3.0,0.3,44.0,94.0,77.0,8.0,7.0,16.6,20.6,1,1
6097,16.5,27.4,1.6,2.0,10.0,30.0,69.0,53.0,3.0,6.0,20.1,27.0,1,0
6098,16.8,30.6,0.0,5.2,10.7,26.0,66.0,28.0,0.0,3.0,22.1,30.0,0,0
6099,20.4,34.0,0.0,6.6,11.6,31.0,45.0,19.0,2.0,4.0,25.9,33.1,0,0
6100,19.9,31.7,0.0,9.0,12.4,31.0,39.0,25.0,1.0,1.0,23.0,30.3,0,0
6101,17.2,34.3,0.0,10.2,12.4,39.0,52.0,19.0,0.0,2.0,22.3,32.3,0,0
6102,21.9,35.1,0.0,9.0,10.2,43.0,53.0,30.0,3.0,4.0,25.9,34.0,0,1
6103,21.0,34.7,2.0,10.0,9.0,46.0,60.0,34.0,3.0,4.0,25.6,32.9,1,0
6104,18.7,33.1,0.8,7.4,12.1,31.0,69.0,32.0,2.0,2.0,23.6,31.7,0,0
6105,17.9,33.8,0.0,8.4,12.0,24.0,25.0,19.0,0.0,1.0,24.0,32.4,0,0
